id,media_id,title,type,release_year,runtime,production_countries
1,ts20945,The Three Stooges,SHOW,1934,19,['US']
2,tm19248,The General,MOVIE,1926,78,['US']
3,tm82253,The Best Years of Our Lives,MOVIE,1946,171,['US']
4,tm83884,His Girl Friday,MOVIE,1940,92,['US']
5,tm56584,In a Lonely Place,MOVIE,1950,94,['US']
6,tm160494,Stagecoach,MOVIE,1939,96,['US']
7,tm87233,It's a Wonderful Life,MOVIE,1946,130,['US']
8,tm19424,Detour,MOVIE,1945,66,['US']
9,tm116781,My Man Godfrey,MOVIE,1936,95,['US']
10,tm112005,Marihuana,MOVIE,1936,57,['US']
11,tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916,197,['US']
12,tm88001,The Stranger,MOVIE,1946,95,['US']
13,tm141715,The Phantom of the Opera,MOVIE,1925,101,['US']
14,tm112415,Tell Your Children,MOVIE,1938,66,['US']
15,tm2838,The Most Dangerous Game,MOVIE,1932,63,['US']
16,tm155610,Wuthering Heights,MOVIE,1939,104,['US']
17,tm3781,The Woman in the Window,MOVIE,1944,99,['US']
18,tm3541,"Steamboat Bill, Jr.",MOVIE,1928,70,['US']
19,tm82560,The Little Foxes,MOVIE,1941,115,['US']
20,tm64852,Stella Dallas,MOVIE,1937,106,['US']
21,tm120863,Dodsworth,MOVIE,1936,101,['US']
22,tm66903,Sands of Iwo Jima,MOVIE,1950,100,['US']
23,tm74259,The Pride of the Yankees,MOVIE,1942,128,['US']
24,tm112424,Things to Come,MOVIE,1936,89,['GB']
25,tm58979,Cyrano de Bergerac,MOVIE,1950,112,['US']
26,tm18385,Scarlet Street,MOVIE,1945,103,['US']
27,tm162994,Made for Each Other,MOVIE,1939,92,['US']
28,tm2721,The Thief of Bagdad,MOVIE,1924,149,['US']
29,tm59314,D.O.A.,MOVIE,1950,83,['US']
30,tm74188,Jungle Book,MOVIE,1942,106,['US']
31,tm159958,Love Affair,MOVIE,1939,88,['US']
32,tm88469,The Bishop's Wife,MOVIE,1947,109,['US']
33,tm100997,Of Human Bondage,MOVIE,1934,83,['US']
34,tm70212,Our Town,MOVIE,1940,90,['US']
35,tm159975,The Little Princess,MOVIE,1939,93,['US']
36,tm56594,The Jackie Robinson Story,MOVIE,1950,76,['US']
37,tm89268,The Secret Life of Walter Mitty,MOVIE,1947,105,['US']
38,tm87972,The Strange Love of Martha Ivers,MOVIE,1946,115,['US']
39,tm79732,Flying Tigers,MOVIE,1942,102,"['MX', 'US']"
40,tm140201,Lady Windermere's Fan,MOVIE,1925,120,['US']
41,tm71517,Dead End,MOVIE,1937,93,['US']
42,tm84154,Meet John Doe,MOVIE,1941,122,['US']
43,tm119274,The Outlaw,MOVIE,1943,116,['US']
44,tm52327,The Front Page,MOVIE,1931,101,['US']
45,tm5661,White Zombie,MOVIE,1932,67,['US']
46,tm6408,Bird of Paradise,MOVIE,1932,80,['US']
47,tm140761,The Lost World,MOVIE,1925,93,['US']
48,tm1200,49th Parallel,MOVIE,1941,123,"['GB', 'CA']"
49,tm138416,The Private Life of Henry VIII,MOVIE,1933,90,['GB']
50,tm17109,The Southerner,MOVIE,1945,92,['US']
51,tm108119,Hangmen Also Die!,MOVIE,1943,134,['US']
52,tm52,A Farewell to Arms,MOVIE,1932,89,['US']
53,tm97774,The Scarlet Letter,MOVIE,1934,69,['US']
54,tm8190,The Hunchback of Notre Dame,MOVIE,1923,113,['US']
55,tm53452,Tabu,MOVIE,1931,86,['US']
56,tm60168,The Big Lift,MOVIE,1950,120,"['DE', 'US']"
57,tm70223,Why We Fight: Prelude to War,MOVIE,1942,53,['US']
58,tm60798,The Fighting Kentuckian,MOVIE,1949,100,['US']
59,tm77319,Santa Fe Trail,MOVIE,1940,110,['US']
60,tm17383,Dick Tracy,MOVIE,1945,61,['US']
61,tm50402,Woman on the Run,MOVIE,1950,77,['US']
62,tm88502,Life with Father,MOVIE,1947,118,['US']
63,tm62593,Nothing Sacred,MOVIE,1937,77,['US']
64,tm85417,Penny Serenade,MOVIE,1941,119,['US']
65,tm4525,He Walked by Night,MOVIE,1949,79,['US']
66,tm5051,Algiers,MOVIE,1938,96,['US']
67,tm7107,Louisiana Story,MOVIE,1948,78,['US']
68,tm118203,Jack London,MOVIE,1943,94,['US']
69,tm100333,Broken Blossoms,MOVIE,1919,89,['US']
70,tm109275,Dr. Jekyll and Mr. Hyde,MOVIE,1920,79,['US']
71,tm142410,The Pleasure Garden,MOVIE,1925,75,['GB']
72,tm61613,Too Late for Tears,MOVIE,1949,99,['US']
73,tm61597,Trapped,MOVIE,1949,78,['US']
74,tm131025,Mother,MOVIE,1926,89,['SU']
